epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,567.263,1.58176,2.32999,1.11613,1.12534,0.66511,0.61386,0.64061,0.37272,0.74691,0.55792,0.60534,0.34329,1.88642,2.92881,1.46298,1.31849,0.00105646,0.00105646,0.00105646
81,573.78,1.54471,2.28195,1.09143,1.11272,0.72554,0.59669,0.66213,0.36346,0.72122,0.58465,0.63454,0.34895,1.88332,2.9095,1.46501,1.28822,0.00105174,0.00105174,0.00105174
82,581.047,1.57452,2.40852,1.12303,1.12747,0.67954,0.59073,0.6149,0.34437,0.67926,0.57111,0.58905,0.32426,1.91629,2.88457,1.53533,1.31683,0.00104703,0.00104703,0.00104703
83,587.815,1.58733,2.34424,1.13075,1.11464,0.68374,0.62154,0.60473,0.34417,0.65369,0.59528,0.57879,0.33082,1.91706,2.93889,1.56547,1.33165,0.00104231,0.00104231,0.00104231
84,595.007,1.54859,2.31481,1.10306,1.11312,0.69682,0.63546,0.61641,0.32812,0.67829,0.5976,0.58137,0.32914,1.94404,2.87577,1.50905,1.34229,0.0010376,0.0010376,0.0010376
85,602.297,1.49447,2.2824,1.06242,1.10387,0.6124,0.62355,0.59339,0.32986,0.63026,0.59669,0.57645,0.32402,1.93768,2.91109,1.45131,1.34472,0.00103288,0.00103288,0.00103288
86,609.274,1.56229,2.36677,1.09527,1.11775,0.63716,0.61744,0.61754,0.32937,0.65447,0.58478,0.58746,0.32685,1.90868,2.88359,1.44427,1.33438,0.00102817,0.00102817,0.00102817
87,616.596,1.56347,2.38264,1.12942,1.12085,0.62043,0.66844,0.6372,0.3407,0.60272,0.65382,0.5993,0.33161,1.9348,2.89983,1.44889,1.34912,0.00102345,0.00102345,0.00102345
88,623.294,1.54559,2.35102,1.08593,1.0934,0.69699,0.62355,0.63333,0.33684,0.673,0.58172,0.58027,0.32285,1.91427,2.93058,1.42569,1.31816,0.00101873,0.00101873,0.00101873
89,630.571,1.55044,2.37824,1.11342,1.13,0.75467,0.60274,0.64015,0.33822,0.75261,0.58681,0.61199,0.32743,1.93898,2.93961,1.46546,1.3354,0.00101402,0.00101402,0.00101402
90,637.636,1.52416,2.30802,1.0554,1.09222,0.76091,0.62683,0.65814,0.35005,0.69118,0.59669,0.61597,0.34495,1.91584,2.93823,1.43648,1.30365,0.0010093,0.0010093,0.0010093
91,644.47,1.51342,2.34228,1.05474,1.09737,0.72864,0.60928,0.6352,0.35321,0.72765,0.60131,0.61791,0.33258,1.92314,2.97574,1.40449,1.30502,0.00100459,0.00100459,0.00100459
92,651.718,1.4936,2.30399,1.05458,1.0953,0.65826,0.61169,0.60519,0.33005,0.65856,0.6176,0.59819,0.32596,1.9772,2.95208,1.43577,1.36649,0.000999871,0.000999871,0.000999871
93,658.459,1.57071,2.37512,1.08639,1.10108,0.69114,0.6205,0.64145,0.33948,0.77016,0.57227,0.62019,0.33396,2.01352,2.90796,1.46017,1.3991,0.000995156,0.000995156,0.000995156
94,665.874,1.53543,2.32239,1.07322,1.09362,0.72593,0.62645,0.64775,0.346,0.72683,0.62661,0.62796,0.34213,1.99394,2.92948,1.49559,1.38381,0.00099044,0.00099044,0.00099044
95,672.49,1.50305,2.25142,1.05189,1.08478,0.71609,0.65943,0.64243,0.33327,0.6398,0.60875,0.58568,0.32484,1.99261,3.00108,1.44243,1.3879,0.000985724,0.000985724,0.000985724
96,679.749,1.47394,2.19549,1.03392,1.07826,0.69354,0.58156,0.60018,0.32795,0.74446,0.61165,0.64484,0.33093,1.93172,3.04702,1.48243,1.35372,0.000981008,0.000981008,0.000981008
97,686.913,1.51198,2.25747,1.02663,1.08704,0.77313,0.57578,0.64443,0.32722,0.65019,0.60687,0.62539,0.33668,1.96869,3.07496,1.49121,1.35035,0.000976293,0.000976293,0.000976293
98,693.801,1.5149,2.28822,1.0318,1.11554,0.66662,0.57901,0.60125,0.32667,0.64013,0.56973,0.57555,0.32066,1.93571,2.96688,1.46847,1.34071,0.000971577,0.000971577,0.000971577
99,701.003,1.53614,2.28099,1.0566,1.11451,0.67751,0.56914,0.59244,0.31992,0.65861,0.55846,0.56389,0.31218,1.92664,2.92587,1.45482,1.34003,0.000966861,0.000966861,0.000966861
100,707.774,1.48472,2.26838,1.01899,1.07179,0.78633,0.56419,0.63119,0.33507,0.7477,0.55182,0.59687,0.32883,1.92263,2.91793,1.45283,1.31969,0.000962146,0.000962146,0.000962146
101,715.137,1.55418,2.30426,1.06133,1.1001,0.72833,0.57272,0.61964,0.34024,0.72374,0.5651,0.59638,0.3361,1.89567,2.93238,1.40656,1.30895,0.00095743,0.00095743,0.00095743
102,721.679,1.5023,2.27248,1.04716,1.10689,0.68869,0.57272,0.61333,0.34341,0.61551,0.61184,0.59895,0.34153,1.91146,2.95234,1.41582,1.33152,0.000952714,0.000952714,0.000952714
103,728.918,1.4781,2.28171,1.02681,1.09657,0.64778,0.59176,0.61032,0.34309,0.66246,0.61025,0.60818,0.34657,1.91559,2.8882,1.39504,1.34488,0.000947999,0.000947999,0.000947999
104,736.142,1.50256,2.26917,1.03585,1.08331,0.60038,0.66063,0.60422,0.33803,0.7195,0.58768,0.62118,0.33865,1.96777,2.88815,1.42206,1.36424,0.000943283,0.000943283,0.000943283
105,742.828,1.47197,2.25757,1.02986,1.09804,0.65095,0.63065,0.62554,0.34972,0.66574,0.60875,0.60992,0.3429,1.9786,2.93998,1.45505,1.35401,0.000938567,0.000938567,0.000938567
106,750.145,1.47737,2.21086,1.00976,1.09273,0.61463,0.63546,0.61223,0.3483,0.69826,0.57899,0.58881,0.33479,1.99883,2.98952,1.49059,1.35257,0.000933851,0.000933851,0.000933851
107,756.66,1.51341,2.2398,1.0407,1.0879,0.6525,0.65486,0.62544,0.3311,0.62587,0.63348,0.5976,0.33283,2.00891,3.01188,1.45283,1.34606,0.000929136,0.000929136,0.000929136
108,764.014,1.52151,2.26916,1.06624,1.13309,0.62063,0.6353,0.60502,0.33323,0.5823,0.63863,0.59435,0.33495,2.00124,2.95741,1.42428,1.36595,0.00092442,0.00092442,0.00092442
109,770.668,1.54738,2.36485,1.04424,1.10728,0.68305,0.61149,0.59329,0.33003,0.6713,0.60553,0.59721,0.33569,1.98045,2.90449,1.46948,1.35167,0.000919704,0.000919704,0.000919704
110,777.806,1.51661,2.32029,1.07135,1.11108,0.69528,0.60179,0.60018,0.32843,0.68103,0.5955,0.59212,0.33538,1.97505,2.90236,1.55751,1.36211,0.000914989,0.000914989,0.000914989
111,784.926,1.49908,2.24861,1.0361,1.09472,0.66675,0.61857,0.61012,0.34021,0.66675,0.61857,0.60454,0.34718,1.97173,2.88917,1.59834,1.35806,0.000910273,0.000910273,0.000910273
112,791.595,1.45527,2.22034,1.03519,1.07864,0.66668,0.59958,0.61208,0.33871,0.66668,0.59958,0.60156,0.33648,1.99947,2.94027,1.59342,1.37681,0.000905557,0.000905557,0.000905557
113,799.002,1.49946,2.26407,1.03903,1.11837,0.69525,0.6002,0.61028,0.34198,0.6998,0.61149,0.60549,0.34276,1.94325,2.94275,1.43265,1.34474,0.000900842,0.000900842,0.000900842
114,805.632,1.44935,2.2159,1.00642,1.08319,0.7366,0.64289,0.65354,0.34149,0.67506,0.61064,0.61003,0.32508,1.96258,2.96227,1.42848,1.32149,0.000896126,0.000896126,0.000896126
115,812.966,1.48127,2.28107,1.01269,1.09718,0.74535,0.63209,0.64058,0.34322,0.66873,0.59073,0.59051,0.32819,1.93439,2.97272,1.4628,1.31281,0.00089141,0.00089141,0.00089141
